course_id,course_title,description,prerequisites,course_offering,credits
ANT 207,**Contemporary Archaeology**,"An overview of the human record as determined by archaeology using examples drawn from the global experience.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives
Course Typically Offered: Spring
Credits: 3",None,Spring,3
ANT 210,**Biological Anthropology**,"Introduces current topics in human biology and evolution including human origins and the fossil record, human genetics
and population variability, and human and non-human primate behavior.
Core Curriculum/Core Requirements: Applications of Scientific Knowledge
Course Typically Offered: Variable
Credits: 3",None,Variable,3
ANT 213,**Environmental Anthropology**,"The field of environmental anthropology explores human-environment relations around the globe and from prehistory
to the present. It also strives to understand environmental issues and knowledge, not only from a Western scientific
point of view, but also from the perspectives of people from other cultural backgrounds. In this class, students will
survey the field of environmental anthropology and apply its method and theory to a problem where they live.
Core Curriculum/Core Requirements: Population and the Environment
Prerequisites: ANT 102 or SOC 101, or permission of instructor.
Course Typically Offered: Spring
Credits: 3","ANT 102 or SOC 101, or permission of instructor.",Spring,3
ANT 221,**Introduction to Folklore**,"A survey of the different genres of folklore, its forms, uses, functions and modes of transmission. Emphasis on belief,
custom and legend.
Core Curriculum/Core Requirements: Western Cultural Tradition and the Cultural Diversity and International
Perspectives
Course Typically Offered: Fall
Credits: 3",None,Fall,3
ANT 235,**Cultural Perceptions of Nature**,"Examines the concept of nature in a variety of cultural contexts. Emphasis is on the development of contemporary views
and their impacts on environmental management.
Core Curriculum/Core Requirements: Population and the Environment
Course Typically Offered: Alternate years
Credits: 3",None,Alternate years,3
ANT 240,**Hollywood Archaeology**,"Archaeology is the systematic study of the past, particularly (but not exclusively) for times and places when and where
writing did not exist. Many people find the ancient past romantic and exciting. Consequently, many movies purport to be
about, or to involve, archaeology and archaeologists and/or the prehistoric past. Very often, movies propagate
perspectives on the past and on the practice of archaeology that diverge widely from what archaeologists do and have
learned. Often, movies portray archaeologists acting unethically. In this class, we will discuss the use and abuse of
archaeology in Hollywood movies, how to recognize inappropriate and unethical archaeological behavior, what sort
of stereotypes about archaeology and archaeologists these movies transmit, and how film might be a medium for a better
presentation of archaeology and prehistory. If this course was taken as a topics course in ANT 290, it cannot be repeated
for credit.
Core Curriculum/Core Requirements:
Course Typically Offered: Spring
Credits: 3",None,Spring,3
ANT 247,**Animals across Cultures**,"How do diverse cultures conceptualize and treat non-human animals? How are animals understood and acted upon?
Our readings are drawn from anthropology, anthrozoology, the biological sciences, neuroscience, comparative
psychology, sociology, history, and science journalism. Cross-cultural and transhistorical comparisons invite us to re-
conceptualize how we relate to animals under conditions of human exceptionalism, while providing a deeper sense of
agency and urgency in how we reimagine stewardship of our shared and imperiled planet.
Core Curriculum/Core Requirements: Ethics and Cultural Diversity or International Perspectives
Course Typically Offered: Spring
Credits: 3",None,Spring,3
ANT 249,**Religion and Violence**,"Explores the anthropology of contemporary political violence. The ethnographic study of terrorism, guerilla warfare,
state terror and human rights will be complemented by examination of the ethical and methodological concerns that
arise in this special area of investigation.
Core Curriculum/Core Requirements: Ethics’ , ‘Social Contexts and Institutions and Cultural Diversity and
International Perspectives
Course Typically Offered: Variable
Credits: 3",None,Variable,3
ANT 252,**Civilization in South Asia**,"An exploration into the nature of civilization in South Asia, focusing on India. The central religious tradition of
Hinduism and the caste order are investigated, with complementary perspectives provided by non-Hindu traditions. The
impact of colonialism and development of national identities are also considered. Anthropological views are
distinguished from and supplemented by other disciplinary perspectives.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives and Social Contexts and
Institutions
Credits: 3",None,Unknown,3
ANT 256,**Ethnic Conflict**,"An exploration of ethnic conflict and revival today including a survey of anthropological theories of ethnicity, focusing on
ethnic revival in the modern world. European and other ethnic groups of the industrialized West provide the major cases
to be considered.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Course Typically Offered: Variable
Credits: 3",None,Variable,3
ANT 261,**Islamic Fundamentalism**,"A survey of the distinctive ideological and social features of Islamic fundamentalist movements.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Course Typically Offered: Spring, Summer
Credits: 3",None,"Spring, Summer",3
ANT 270,**Environmental Justice Movements in the United States**,"Examines how poor and racialized communities have responded to the incidence, causes, and effects of environmental
racism and injustice. Special attention will be given to how critiques offered by these communities challenge the
knowledge and procedural forms of justice embedded in environmental policy and democracy in the United States. Case
studies will be drawn from readings on African-American, European-Americans, Chicano and Latino Americans, and
Native Americans.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Course Typically Offered: Variable
Credits: 3",None,Variable,3
ANT 285,**Introduction to Historic Preservation**,"This course introduces students to the theory, history, legal framework, and cultural contexts of historic preservation. It
focuses primarily on historic preservation in the United States with reference to historic preservation topics worldwide.
From UMaine’s Lord Hall to Stonehenge, students will explore historic places through an anthropological lens in order
to understand why and how humans preserve heritage-based places. The course is designed to give students a basic
knowledge of U.S. historic preservation laws, policies, and practices. It also encourages students to think critically about
social behavior surrounding place-based heritage.
Core Curriculum/Core Requirements:
Course Typically Offered: Fall
Credits: 3",None,Fall,3
ANT 295,**American Indians and Climate Change**,"Introduces students to the Indian cultures of the United States and U.S. territories in the South Pacific, paying particular
attention to the issue of climate change and how it is impacting indigenous peoples in these regions; also examines
climate effects on natural resource conditions as it relates to Indian cultures and the roles indigenous groups play in
policy responses to climate change.
Core Curriculum/Core Requirements:
Course Typically Offered: Variable
Credits: 3",None,Variable,3
ANT 311,**Geography of Climate Change**,"Introduces students to theories of environmental sustainability transitions and resource use in the context of climate
change.
Core Curriculum/Core Requirements:
Prerequisites: Any ANT or GEO course or permission.
Course Typically Offered: Spring
Credits: 3",Any ANT or GEO course or permission.,Spring,3
ANT 317,**Fundamentals of Archaeology**,"Techniques of excavation and analysis; theoretical basis of methods and fundamental principles; application to specific
case studies; the use of geological, biological, chemical and other tools in archaeological research. A one-day compulsory
weekend field trip to local archaeological sites.
Prerequisites: ANT 101 or ANT 170 or ANT 207 or permission. Required for Anthropology majors.
Course Typically Offered: Spring
Credits: 3",ANT 101 or ANT 170 or ANT 207 or permission. Required for Anthropology majors.,Spring,3
ANT 350,**Mediterranean Ancient Landscapes Modern World**,"Humans are active agents in the physical world and play a pivotal role in its transformation. Consequently,
contemporary societies inherit landscapes that are the product of an integrated, long-term relationship between humans
and their environment through time. This is of particular interest in the Mediterranean world not only because cultural
complexity, urbanization, and the origins of nation-states and empires unfolded over the course of millennia, but also
because of the rich historical, archaeological, and paleoenvironmental records that help to characterize this process.
This course introduces the ways in which archaeology and other historical sciences can inform on contemporary issues of
resource management, conservation and cultural heritage in the Mediterranean in the context of the global change.
Core Curriculum/Core Requirements:
Prerequisites: One ANT course or one GEO course or Permission
Course Typically Offered: Alternate Years
Credits: 3",One ANT course or one GEO course or Permission,Alternate Years,3
ANT 372,**North American Prehistory**,"The history of North American native peoples from the first evidence to the arrival of the Europeans. Emphasis on major
culture areas and issues such as glacial and postglacial adaptation, development of agriculture, and the emergence of
sedentism.
Core Curriculum/Core Requirements:
Prerequisites: ANT 101 or ANT 207 or ANT 317 or Permission
Course Typically Offered: Alternate Years
Credits: 3",ANT 101 or ANT 207 or ANT 317 or Permission,Alternate Years,3
ANT 390,**Topics: Travel Study in Anthropology/Geography**,"Experiential learning in Anthropology/Geography through travel study. Topics and geographical regions of study will
vary from statewide, to national, to international interests.
Prerequisites: Instructor Permission
Course Typically Offered: Summer
Credits: 1-6",Instructor Permission,Summer,1-6
ANT 410,**Human Dimensions of Climate Change**,"Surveys advanced topics on the human dimensions of climate change, including anthropogenic drivers and
consequences of climate change, mitigation, and adaptation strategies.
Core Curriculum/Core Requirements: Capstone
Prerequisites: ANT 102 and ANT 225 or permission.
Course Typically Offered: Spring
Credits: 3",ANT 102 and ANT 225 or permission.,Spring,3
