course_id,course_title,description,prerequisites,course_offering,credits
ART 440,**Printmaking III**,"Continued study of printmaking through a variety and choice of printmaking media. Emphasis on conceptual as well as
technical development. May be repeated for credit with a total of 9 completions and 27 credits.
Core Curriculum/Core Requirements:
Prerequisites: ART 340.
Course Typically Offered: Fall & Spring
Credits: 3",ART 340.,Fall & Spring,3
ART 460,**Topics in Studio Art**,"Advanced study of selected topics surveying particular media, thematic content or contemporary issues. Specific topics
will vary from semester to semester.
Course note: May be repeated for credit if topics differ with a total of 9 completions and 27 credits
Core Curriculum/Core Requirements:
Prerequisites: Senior standing or permission of instructor.
Course Typically Offered: Fall, Spring, Summer
Credits: 3",Senior standing or permission of instructor.,"Fall, Spring, Summer",3
ART 491,**Book Arts Certificate Capstone Project**,"This directed study capstone course is structured to bring together a variety of experiences from the Book Arts Certificate
program and give form to them in the making of a final project. This may include presenting experimental and/or
conventional approaches to book making through the exhibit of individual works or by publishing a book edition. A
critical essay of historical and contemporary work, as well as a structure of the project’s conceptual progression, will
frame the thesis of this project.
Prerequisites: ART 216, ART 217, ART 298 and two courses from ENG 242, ART 212, ART 210, ART 119, ART 213
Course Typically Offered: Spring
Credits: 3","ART 216, ART 217, ART 298 and two courses from ENG 242, ART 212, ART 210, ART 119, ART 213",Spring,3
ART 496,**Field Experience in Art**,"Students engaged in professional activities related to their area of study may apply for supervision and credit for the
project. Student must have Jr or Sr. Standing.
May be repeated for credit.
Core Curriculum/Core Requirements:
Prerequisites: Department Consent
Course Typically Offered: Fall & Spring
Credits: Ar",Department Consent,Fall & Spring,N/A
ART 498,**Directed Study in Studio Art**,"Advanced study and research in studio art or related areas directed by a faculty member.
Course Note: May be repeated for credit.
Core Curriculum/Core Requirements:
Prerequisites: Junior or Senior Standing and permission
Course Typically Offered: Fall & Spring
Credits: Ar",Junior or Senior Standing and permission,Fall & Spring,N/A
ART 499,**Studio Art Senior Capstone**,"A capstone course for studio art majors which requires the synthesis of all previous course work and focuses on the
development of essential professional practices in the visual arts.
Core Curriculum/Core Requirements: Capstone Experience and Writing Intensive Requirements
Prerequisites: Junior or senior standing.
Course Typically Offered: Fall
Credits: 3
Art Education",Junior or senior standing.,Fall,3
AED 372,**Foundations of Art Education**,"Includes historical, philosophical, political, psychological and sociological foundations of art education; theories of child
art; and critical examination of current research, trends and issues in art education. Art education majors or art
certification students only. Lec 3.
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: Sophomore standing or higher; AED Major; ART 100, ART 110, ART 120, ART 200, ARH 155 and ARH
156
Course Typically Offered: Spring
Credits: 3","Sophomore standing or higher; AED Major; ART 100, ART 110, ART 120, ART 200, ARH 155 and ARH",Spring,3
AED 373,**Introduction to Curriculum**,"Introduction to art curricula strategies and development. Includes instructional planning, lesson writing and
organization, and practicum experience. Lec 2, Lab 1.
Core Curriculum/Core Requirements:
Prerequisites: AED Majors or Certification Students
Corequisites: AED 371
Course Typically Offered: Fall
Credits: 3",AED Majors or Certification Students,Fall,3
AED 474,**SL: Topics in Art Education**,"Seminar in advanced research and practice in art education and related areas. Specific topic to be announced. This
course has been designated as a UMaine Service-Learning course.
Course note: May be repeated 9 completions for a total of 27 credits if topics differ.
Core Curriculum/Core Requirements:
Prerequisites: AED 371 and AED 373, or permission
Course Typically Offered: Spring
Credits: 3","AED 371 and AED 373, or permission",Spring,3
AED 496,**Field Experience in Art Education**,"Students involved in pre-professional activities with art education in schools or community agencies may apply for
supervision and credit for the project.
May be repeated for credits.
Core Curriculum/Core Requirements:
Prerequisites: AED 371, AED 372, AED 373 and permission.
Course Typically Offered: Fall & Spring
Credits: 1","AED 371, AED 372, AED 373 and permission.",Fall & Spring,1
AED 498,**Directed Study in Art Education**,"Advanced projects, readings, or seminars in art education. Topic and form of study to be determined by student in
consultation with faculty member.
Course Note: Course may be repeated for credit.
Core Curriculum/Core Requirements:
Prerequisites: AED 371, AED 372, AED 373 or equivalents and permission.
Course Typically Offered: Fall & Spring
Credits: Ar
Art History","AED 371, AED 372, AED 373 or equivalents and permission.",Fall & Spring,N/A
ARH 100,**Art and Human Experience**,"An exploration of the relationships between art and human experience as they exist within historical, cross-cultural and
contemporary contexts. Focus is on specific areas of human experience as they intersect with the creation,
understanding and use of visual artifacts.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives and Artistic and Creative
Expression
Prerequisites: Non-art majors only.
Course Typically Offered: Fall & Spring
Credits: 3",Non-art majors only.,Fall & Spring,3
ARH 112,**Art History II**,"A global survey of the visual arts since 1400 C.E. This course includes lectures and discussions of the art and life of
people across many cultures around the world and across a wide spectrum of history.
Prerequisites: ENG 101 or permission
Credits: 3",ENG 101 or permission,Unknown,3
ARH 155,**Art and Visual Culture in the Ancient and Medieval Worlds**,"Introductory survey of painting, sculpture, architecture, and forms of visual and material culture in their various
contexts from the Paleolithic and Ancient Worlds to the end of the Middle Ages.
Core Curriculum/Core Requirements: Western Cultural Tradition’, ‘Cultural Diversity and International
Perspectives and Artistic and Creative Expression
Course Typically Offered: Fall & Spring
Credits: 3",None,Fall & Spring,3
ARH 156,**Art and Visual Culture in the Modern Era**,"Introductory survey of painting, sculpture, architecture, and other forms of visual and material culture in their various
contexts from the Renaissance to the present.
Core Curriculum/Core Requirements: Western Cultural Tradition and Artistic and Creative Expression
Course Typically Offered: Fall & Spring
Credits: 3",None,Fall & Spring,3
ARH 252,**Mediterranean Medieval Art and Architecture**,"An in-depth survey of the art and architecture of the Mediterranean world, including Southern Europe, the Mid-East and
northern Africa, from the first decades through the fourteenth century, examines how diverse Christian and Islamic
cultures built upon the strong legacy of the Classical world. The unique artistic visions of each region spawned cross-
cultural developments, facilitated by the relative ease of movement that the Mediterranean permitted.
Core Curriculum/Core Requirements: Western Cultural Tradition’, ‘Artistic and Creative Expression and Cultural
Diversity and International Perspectives
Prerequisites: ARH 155 or permission.
Course Typically Offered: Variable
Credits: 3",ARH 155 or permission.,Variable,3
ARH 253,**Northern European Medieval Art and Architecture**,"Surveys the art and architecture of the major civilizations of Northern Europe that developed there from the fourth
century through the fifteenth, including the Carolingian, Ottonian, Romanesque and Gothic eras, focusing upon the
diversity of particular cultural identities and their interrelationships among one another and the Mediterranean cultures
with which they interacted. Offered in 3-year rotation.
Core Curriculum/Core Requirements: Western Cultural Tradition and Cultural Diversity and International
Perspectives
Prerequisites: ARH 155 or permission.
Course Typically Offered: Variable
Credits: 3",ARH 155 or permission.,Variable,3
ARH 257,**Northern Renaissance Art**,"Survey of the art of the Netherlands, France, Spain, and Germany in its historical context from Late Gothic of the 14th
century to Mannerism of the 16th century.
Core Curriculum/Core Requirements: Western Cultural Tradition’, ‘Cultural Diversity and International
Perspectives and Artistic and Creative Expression
Prerequisites: ARH 156 or permission.
Course Typically Offered: Variable
Credits: 3",ARH 156 or permission.,Variable,3
ARH 258,**Baroque Art and Architecture**,"Surveys the art and architecture of the Baroque era in Southern and Northern Europe, along with their settlements in
the Americas, focus on the major shifts in the European world outlook. The course investigates how the art of the period
reflects the rise of strong national identities, radically shifting political powers, growing colonialism around the globe,
religious reformation and increased interests in empirical knowledge and scientific inquiry.
Core Curriculum/Core Requirements: Western Cultural Tradition’, ‘Cultural Diversity and International
Perspectives and Artistic and Creative Expression
Prerequisites: ARH 156 or permission.
Course Typically Offered: Variable
Credits: 3",ARH 156 or permission.,Variable,3
ARH 262,**Early Modern Art: From Fauvism to Surrealism**,"In a thematic consideration of art and its related concepts from 1900 to 1945, this course places particular emphasis on
the notions of modernity and the diversity of artistic forms that the period spawned. Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: ARH 156 or permission.
Course Typically Offered: Variable
Credits: 3",ARH 156 or permission.,Variable,3
ARH 263,**Late Modern Art: From Abstract Expressionism Through New**,"Forms
This thematic course considers art forms and conceptual developments from the mid-Twentieth century through the
middle of the 1970’s. It places particular emphasis on the expanding nature of the work of art and the changing role,
place and function of the artist during the period. Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: ARH 156 or permission.
Course Typically Offered: Variable
Credits: 3",ARH 156 or permission.,Variable,3
ARH 265,**American Art**,"Survey of painting, sculpture, architecture, and other forms of visual and material culture in the United States from
1776-1945.
Core Curriculum/Core Requirements: Western Cultural Tradition and Artistic and Creative Expression
Prerequisites: ARH 156
Course Typically Offered: Variable
Credits: 3",ARH 156,Variable,3
ARH 270,**Topical Survey in History of Art**,"Surveys the historical artifacts and monuments of culture not covered by the regular rotation of Department offerings,
such as those by African, Asian or Pre-Columbian peoples. Students may repeat this course for credit to study different
cultures.
Course note: May be repeated for 9 completions with a total of 27 credits
Core Curriculum/Core Requirements: Social Contexts and Institutions’, ‘Cultural Diversity and International
Perspectives and Artistic and Creative Expression
Course Typically Offered: Variable
Credits: 3",None,Variable,3
ARH 397,**Independent Study in Art History**,"Advanced independent study or research and writing projects in the history of art and related areas.
Course note: May be repeated for credit.
Core Curriculum/Core Requirements:
Prerequisites: Junior or senior standing and permission.
Course Typically Offered: Fall & Spring
Credits: Ar",Junior or senior standing and permission.,Fall & Spring,N/A
ARH 398,**Directed Study in Art History**,"Advanced independent study or research and writing projects in the history of art and related areas.
Course note: May be repeated for credit.
Core Curriculum/Core Requirements:
Prerequisites: Junior or senior standing and permission.
Course Typically Offered: Fall & Spring
Credits: Ar",Junior or senior standing and permission.,Fall & Spring,N/A
ARH 452,**Critical Methods in History of Art**,"This seminar immerses students within the historiography of History of Art, making them familiar with the
philosophical underpinnings, historical context, rhetorical tones, critical vocabularies and intended goals of each
investigative strategy. The exploration of the various methodological approaches that the field has supported includes:
Connoisseurship, Iconography, Reception Theory, Marxism, Feminism, Deconstruction, Visual Linguistics and perhaps
other emerging schemes.
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: Any 200 level ARH course or permission
Course Typically Offered: Variable
Credits: 3",Any 200 level ARH course or permission,Variable,3
ARH 460,**Topics in Art History**,"Identifies and develops a particular topic within the field of History of Art not covered by traditional notions of period,
geographic identity, or style. Specific topics will vary from semester to semester.
Course Note: May be repeated 9 completions with a total of 27 credits if the topics differ.
Core Curriculum/Core Requirements: Writing Intensive Requirement.
Prerequisites: Any 200 level ARH course or permission.
Course Typically Offered: Variable
Credits: 3",Any 200 level ARH course or permission.,Variable,3
ARH 466,**Twentieth Century Art and Architecture Seminar**,"In an in-depth consideration, this seminar focuses upon the culture, period, artists or artist, or of a particular issue in the
history of art and/or architecture of the twentieth century. Specific topics vary from semester to semester. May be
repeated for credit.
Course note: May be repeated for credit up to 9 completions and 27 total credits if the topics differ
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: ARH 261 or ARH 262 or ARH 263 or ARH 264 or ARH 265
Course Typically Offered: Variable
Credits: 3",ARH 261 or ARH 262 or ARH 263 or ARH 264 or ARH 265,Variable,3
ARH 493,**Medieval Research Seminar**,"Focus on special topics selected by the instructor in the field of Medieval History of Art. Students will define and
research their own individual projects, present them within the forum of the seminar, with the aim of delivering them at
a professional conference and bring them to fruition as publishable papers.
Course note: May be repeated up to 9 completions with a total of 27 credits if the topics differ.
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: ARH 251, or ARH 252, or ARH 253, or ARH 255, or ARH 256, or ARH 258, or Permission
Course Typically Offered: Variable
Credits: 3","ARH 251, or ARH 252, or ARH 253, or ARH 255, or ARH 256, or ARH 258, or Permission",Variable,3
ARH 494,**Renaissance Research Seminar**,"Focus on special topics selected by the instructor in the field of Renaissance History of Art. Students will define and
research their own individual projects, present them within the forum of the seminar, with the aim of delivering them at
a professional conference and bring them to fruition as publishable papers.
Course note: May be repeated up to 9 completions with a total of 27 credits if the topics differ.
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: ARH 251, or ARH 252, or ARH 253, or ARH 255, or ARH 256, or ARH 258, or Permission
Course Typically Offered: Variable
Credits: 3","ARH 251, or ARH 252, or ARH 253, or ARH 255, or ARH 256, or ARH 258, or Permission",Variable,3
ARH 496,**Field Experience in Art History**,"Students engaged in professional activities related to their area of study may apply for supervision and credit for the
project. May be repeated for credit.
Core Curriculum/Core Requirements:
Prerequisites: Junior or senior standing and permission.
Course Typically Offered: Fall, Spring, Summer
Credits: Ar",Junior or senior standing and permission.,"Fall, Spring, Summer",N/A
ARH 498,**Directed Study in Art History**,"Advanced directed study or research and writing projects in the history of art and related areas.
Course note: May be repeated for Credit.
Core Curriculum/Core Requirements:
Prerequisites: Junior or senior standing and permission.
Course Typically Offered: Fall & Spring
Credits: Ar",Junior or senior standing and permission.,Fall & Spring,N/A
ARH 499,**Capstone Experience in History of Art**,"As a guided practicum, this course will have senior majors draw from the full breadth of their undergraduate experiences
in the History of Art. Requires students to research a focused project developed from primary source materials, in an
investigation that will result in a professional presentation, namely a publishable paper, a public lecture, a museum show
or an equivalent.
Core Curriculum/Core Requirements: Capstone
Prerequisites: Permission.
Course Typically Offered: Fall & Spring
Credits: 3
Astronomy",Permission.,Fall & Spring,3
AST 110,**Introduction to Astronomy Laboratory**,"Laboratory and observational exercises to accompany AST 109. Lab 2.
Core Curriculum/Core Requirements: Together with AST 109, ‘this course satisfies the General Education Lab in
the Basic or Applied Sciences Requirement.
Corequisites: AST 109
Course Typically Offered: Fall, Spring, Summer
Credits: 1",None,"Fall, Spring, Summer",1
AST 221,**Planetary Systems**,"A more detailed introduction to astronomy and astrophysics than AST 109 covering solar system astronomy including
celestial mechanics, astronomical coordinate systems, Kepler’s laws, and the sun.
Core Curriculum/Core Requirements:
Prerequisites: MAT 127, a grade of C- or better in either PHY 112 or PHY 122 or permission.
Course Typically Offered: Variable
Credits: 3","MAT 127, a grade of C- or better in either PHY 112 or PHY 122 or permission.",Variable,3
AST 451,**Astrophysics**,"Application of the principles of physics to selected topics in the study of cosmogony, stellar evolution and dynamics,
interstellar processes, the formation and evolution of galaxies, and cosmology.
Core Curriculum/Core Requirements:
Prerequisites: MAT 259, a grade of C- or better in PHY 236, PHY 451 and PHY 455 or permission
Course Typically Offered: Variable
Credits: 1-3","MAT 259, a grade of C- or better in PHY 236, PHY 451 and PHY 455 or permission",Variable,1-3
AST 497,**Topics in Astrophysics**,"Selected topics in areas not already covered by regular course offerings in the Department.
Course note: May be repeated for credits if the topics differ with a total of 9 completions and 27 credits.
Core Curriculum/Core Requirements:
Prerequisites: permission of instructor.
Course Typically Offered: Fall, Spring, Summer
Credits: 1-3
Bachelor of College Studies",permission of instructor.,"Fall, Spring, Summer",1-3
BMB 150,**Phage Genome Discovery I**,"This inquiry-driven research course provides a hands-on laboratory experience in which students isolate a novel
bacteriophage from the environment and characterized the bacteriophage through experimentation. Topics covered
include phage biology and bacteriology, gene structure and expression, DNA isolation, restriction digest analysis,
agarose gel electrophoresis, and electron microscopy. In this writing intensive course, students will learn effective
scientific writing skills through instruction and writing activities and will write a final manuscript to report their
research findings. Students also carry out activities and reflective writing assignments that simultaneously teach
students both scientific content as well as personal, interpersonal, and critical-thinking skills essential to the practice of
science. (HON 150 and BMB 150 are identical courses.)
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: Permission
Course Typically Offered: Fall
Credits: 4",Permission,Fall,4
BMB 207,**Fundamentals of Chemistry**,"Reviews the essentials of inorganic chemistry including measurements, elements, compounds and bond formation,
chemical reactions and quantities, gasses, solutions and acid-base chemistry as they relate to biological chemistry. BMB
207 does not serve as a prerequisite for CHY 122, and is not recommended for pre-medical, pre-dental, pre-veterinary,
or pre-optometry programs of study.
Core Curriculum/Core Requirements: Together with BMB 209, ‘this course satisfies the General Education Lab in
the Basic or Applied Sciences Requirement. Satisfies the General Education Applications of Scientific Knowledge
Requirement when taken without BMB 209.
Prerequisites: One year of high school chemistry.
Course Typically Offered: Fall
Credits: 3",One year of high school chemistry.,Fall,3
BMB 208,**Elementary Physiological Chemistry**,"Structures and properties of biological molecules, including carbohydrates, lipids, proteins, nucleic acids, vitamins and
hormones, composition and function of body fluids, study of digestion and metabolism. BMB 208 does not serve as a
prerequisite for CHY 251, and is not recommended for pre-medical, pre-dental, pre-veterinary, or pre-optometry
programs of study.
Core Curriculum/Core Requirements: Satisfies the General Education Applications of Scientific Knowledge
requirement when taken without BMB 210. When taken with BMB 210, this course satisfies the General Education Lab
in the Basic or Applied Sciences requirement.
Prerequisites: BMB 207 or CHY 121.
Course Typically Offered: Variable
Credits: 3",BMB 207 or CHY 121.,Variable,3
BMB 210,**Elementary Physiological Chemistry Laboratory**,"Laboratory in the structure and properties of biological molecules presented in BMB 208. Lab 2.
Core Curriculum/Core Requirements: Together with BMB 208, ‘this course satisfies the General Education Lab in
the Basic or Applied Sciences Requirement.
Prerequisites: BMB 208 or concurrently. BMB 209 or equivalent.
Course Typically Offered: Spring
Credits: 1",BMB 208 or concurrently. BMB 209 or equivalent.,Spring,1
BMB 221,**Organic Chemistry**,"Basic theories of organic chemistry, including reactions, mechanisms and nomenclature. Emphasis on those aspects of
organic chemistry which relate to biological chemistry.",None,Unknown,N/A
BMB 223,**Microbiology**,"A survey of the biology of microorganisms, in particular the prokaryotes. Topics include a taxonomic survey of the
microbes, regulation of cellular activities, and inheritance. Investigations into the interactions between microorganisms
and humans and the role of microorganisms in the environment will round out student perspectives of these minute life
forms. Laboratory investigations of each topic will emphasize safe lab practice, problem solving, analysis of data, and
communication of results. Lecture 3 hours, laboratory 2 hours.
Prerequisites: BIO 117 or BIO 100 or permission of instructor
Course Typically Offered: Every Spring
Credits: 4",BIO 117 or BIO 100 or permission of instructor,Every Spring,4
BMB 241,**Microbiology for the Professional Nurse Laboratory**,"This is the laboratory component for BMB 240. This lab introduces Nursing students to the basic techniques of
microbiology including staining, culturing and identification of microorganism. This material covered in this lab
matches the content of BMB 240, Microbiology for the Professional Nurse.
Core Curriculum/Core Requirements:
Prerequisites: BMB 240
Course Typically Offered: Spring
Credits: 2",BMB 240,Spring,2
BMB 280,**Introduction to Molecular and Cellular Biology**,"An in-depth introduction to macromolecules, cell structure, metabolic processes, gene expression and molecular
replication common to all organisms. Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: BIO 100 or HON 150 or BMB 150
Course Typically Offered: Spring
Credits: 3",BIO 100 or HON 150 or BMB 150,Spring,3
BMB 300,**General Microbiology**,"A basic biology course dealing with general principles as illustrated by microorganisms, in bacteria and viruses. Covers
cell structure, cell metabolism, genetics, geochemical activities, and host-parasite relations. Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: 1 year of biology that includes BIO 100 or BMB 150 or HON 150 and either BIO 200, BMB 155 or HON
155, BIO 208 or BMB 280 and 1 year of chemistry that includes BMB 207, 208, 209 and 210 or CHY 121, 122, 123 and
124.
Course Typically Offered: Fall and Summer
Credits: 3","1 year of biology that includes BIO 100 or BMB 150 or HON 150 and either BIO 200, BMB 155 or HON",Fall and Summer,3
BMB 322,**Biochemistry**,"A study of the properties of proteins and enzymes, nucleic acids, carbohydrates, and lipids, metabolism and energy
production, replication and protein synthesis. BMB 322 and BMB 360 cannot both be taken for credit. If CHY 322 was
taken at UMM, credit cannot be earned for this course.
Core Curriculum/Core Requirements:
Prerequisites: BMB 221 or CHY 251. If CHY 322 was taken at UMM, credit cannot be earned for this course.
Course Typically Offered: Spring
Credits: 3","BMB 221 or CHY 251. If CHY 322 was taken at UMM, credit cannot be earned for this course.",Spring,3
BMB 323,**Biochemistry Laboratory**,"Laboratory exercises illustrating the principles presented in BMB 322 or BMB 360. If CHY 322 was taken at UMM,
credit cannot be earned for this course.
Core Curriculum/Core Requirements:
Prerequisites: If CHY 322 was taken at UMM, credit cannot be earned for this course.
Course Typically Offered: Spring
Credits: 2","If CHY 322 was taken at UMM, credit cannot be earned for this course.",Spring,2
BMB 380,**Professional Development in Molecular & Biomedical Sciences**,"Introduction to professional development and scientific communication in the fields of microbiology, biochemistry and
molecular biology.
Prerequisites: Junior Standing and Major in Biochemistry, Molecular & Biomedical Sciences, or Microbiology
Course Typically Offered: Spring
Credits: 1","Junior Standing and Major in Biochemistry, Molecular & Biomedical Sciences, or Microbiology",Spring,1
BMB 400,**Molecular Genetics**,"The structure of DNA and of genes, and the mechanisms of gene regulation, particularly as they pertain to cell growth
and differentiation. Includes a discussion of the experimental techniques used in the genetic manipulation of organisms.
Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: BMB 280 and BMB 322 or BMB 360.
Course Typically Offered: Fall
Credits: 3",BMB 280 and BMB 322 or BMB 360.,Fall,3
BMB 405,**Medical Laboratory Methods of Infectious Disease**,"Examines the medically important parasites causing human infection, associated epidemiology and current laboratory
methods employed for diagnosis. The major groups of pathogenic fungi are also discussed, including laboratory
procedures for detection and identification. Applications of immunochemical and molecular methods used to diagnose
or monitor a variety of infectious disease processes is emphasized. Lec 2, Lab 2.
Core Curriculum/Core Requirements:
Prerequisites: BMB 300/BMB 305 and BMB 420/BMB 421 suggested. Medical Laboratory Science majors only or
permission.
Course Typically Offered: Spring
Credits: 3",BMB 300/BMB 305 and BMB 420/BMB 421 suggested. Medical Laboratory Science majors only or,Spring,3
BMB 406,**Introduction to Medical Laboratory Methods**,"An introduction to basic theory and laboratory practice in clinical hematology and urinalysis, including an introduction
to the theory and function of relevant laboratory instruments. Required for Medical Laboratory Science majors.
Prerequisites: Major of Medical Laboratory Sciences and BMB 322 or BMB 360 and BMB 323
Credits: 4",Major of Medical Laboratory Sciences and BMB 322 or BMB 360 and BMB 323,Unknown,4
BMB 415,**Microbiology of Historical Plagues**,"This course examines the microbiological aspects of the most devastating plagues throughout the history. Emphasis is
placed on the life cycles of pathogens, methods of transmission, and the socioeconomic factors that facilitated major
disease outbreaks.
Core Curriculum/Core Requirements:
Prerequisites: A grade of C- or better in BMB 420
Course Typically Offered: Spring
Credits: 1",A grade of C- or better in BMB 420,Spring,1
BMB 420,**Infectious Disease**,"Examines medically important bacteria, viruses, fungi, and parasites causing human infection. Introduces major classes
of pathogens and host immunity to microbes. Covers pathogenesis, virulence factors, clinical symptoms, transmission,
epidemiology, diagnosis, prevention and treatment for individual microbes.
Core Curriculum/Core Requirements:
Prerequisites: A grade of C- or better in BMB 300 and BMB 305
Course Typically Offered: Spring
Credits: 3",A grade of C- or better in BMB 300 and BMB 305,Spring,3
BMB 422,**Clinical Hematology**,"A comprehensive study of the principles, methodology and pathological states in hematology. Lectures and laboratory
practice.
Course note: May be repeated two completions with a total of 7 credits.
Core Curriculum/Core Requirements:
Course Typically Offered: Every Year
Credits: 7",None,Every Year,7
BMB 423,**Clinical Microbiology**,"A comprehensive study of the principles and techniques of diagnostic microbiology and parasitology. Lectures and
laboratory practice.
Course note: May be repeated for credit with two completions and a total of 7 credits.
Core Curriculum/Core Requirements:
Course Typically Offered: Every Year
Credits: 7",None,Every Year,7
BMB 424,**Clinical Immunohematology**,"Fundamental techniques of blood grouping and cross-matching proceeding to advanced studies of human blood groups,
theory and practice in special problems, and advanced techniques. Lectures and laboratory practice. (EMMC)
Course note: May be repeated for credit with 2 completions and 7 total credits.
Core Curriculum/Core Requirements:
Course Typically Offered: Every Year
Credits: 7",None,Every Year,7
BMB 426,**Clinical Microscopy and Special Topics**,"Lectures and laboratory practice in the microscopic examination of urine and body fluids. Lectures and practice in
laboratory management and education theory and methods. Includes a research project on some aspect of clinical
laboratory science. (EMMC.)
Course Note: Students will be enrolled in this course for 2 credits for both fall and spring terms for a total of 4 credits for
the academic year.
Core Curriculum/Core Requirements: Writing Intensive and Capstone
Prerequisites: BIO 421
Course Typically Offered: Every Year
Credits: 4",BIO 421,Every Year,4
BMB 441,**Introductory Immunology Laboratory**,"A laboratory course to introduce students to diagnostic and experimental techniques routinely used in the immunology
lab. Lab 2.
Core Curriculum/Core Requirements:
Prerequisites: BMB 440 or concurrently.
Course Typically Offered: Spring, Even Years
Credits: 1",BMB 440 or concurrently.,"Spring, Even Years",1
BMB 455,**Virology**,"Introduction to the study of viruses, emphasizing their nature, methods of cultivation, mode of transmission, genetics
and mechanisms of pathogenicity. Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: BMB 300.
Course Typically Offered: Spring, Odd Years
Credits: 3",BMB 300.,"Spring, Odd Years",3
BMB 456,**Virology Laboratory**,"Introduction to methods of virus propagation, assay and characterization, including cell culture, in vitro infectivity
assays, and cytopathic effects. Lec 3, Lab 2.
Core Curriculum/Core Requirements:
Prerequisites: BMB 455 or concurrently.
Course Typically Offered: Spring, Odd Years
Credits: 1",BMB 455 or concurrently.,"Spring, Odd Years",1
BMB 464,**Analytical and Preparative Biochemical Laboratory Methods**,"Students will experience laboratory techniques for the manipulation and analysis of biochemical materials including
biological activity assays, concentration determinations, ligand binding analysis, enzyme kinetics and macromolecular
fractionation through a discovery based investigation. The lecture component will focus on principles of techniques,
literature investigation, protocol development and data analysis/problem solving. Lec 2, plus Lab 4
Core Curriculum/Core Requirements:
Prerequisites: BMB 322 or BMB 360.
Course Typically Offered: Spring
Credits: 4",BMB 322 or BMB 360.,Spring,4
BMB 467,**Physical Biochemistry**,"Designed for students who have a strong background in the properties and function of biomolecules including proteins,
nucleic acids, lipids, and carbohydrates. Focus will be on the physical, chemical, and thermodynamic principles that
define macromolecular interactions in cells and solution. Topics include thermodynamics of macromolecular systems,
bioenergetics, binding, solution behavior, macromolecular interactions, introduction to quantum mechanics, transport,
separation techniques, spectroscopy, phase transitions, and steady state and rapid reaction kinetic principles and
modern biophysical laboratory techniques.
Core Curriculum/Core Requirements:
Prerequisites: PHY 122 or 112 or concurrently; and BMB 322 or BMB 360; and MAT 127
Course Typically Offered: Fall
Credits: 3",PHY 122 or 112 or concurrently; and BMB 322 or BMB 360; and MAT 127,Fall,3
BMB 475,**Virus-Host Cell Interactions Discovery Laboratory**,"This inquiry-based laboratory course gives students an in-depth understanding of virus-host cell interactions through
the application of essential techniques and concepts in cell culture, virology, and immunology. Students will develop a
scientific toolkit that includes: cell culture, virus infectivity assays, fluorescence microscopy, and other assays such as
western blot, flow cytometry, RT-PCR, and sequence analysis. In this authentic laboratory-training environment,
students will develop novel hypotheses, write a research proposal outlining their experimental strategy, perform
experiments to test their hypotheses and analyze their data, and present their work in lab meetings and written progress
reports throughout the semester.
Prerequisites: BMB305, BMB360, and permission
Course Typically Offered: Variable
Credits: 3","BMB305, BMB360, and permission",Variable,3
BMB 480,**Seminar in Molecular and Biomedical Sciences**,"Preparation and presentation of papers dealing with current research and development in the field of microbiology,
biochemistry and molecular biology.
Prerequisites: Majoring in BCH, MCB, or MLB; Junior or Senior Standing
Course Typically Offered: Fall and Spring
Credits: 1","Majoring in BCH, MCB, or MLB; Junior or Senior Standing",Fall and Spring,1
BMB 491,"**Biochemistry, Microbiology and Molecular Biology Research**","Research in Biochemistry, Microbiology and Molecular Biology. May be repeated for credit.
Core Curriculum/Core Requirements: Capstone
Prerequisites: senior standing or graduate standing.
Course Typically Offered: Fall, Spring, Summer
Credits: Ar",senior standing or graduate standing.,"Fall, Spring, Summer",N/A
BMB 497,**Independent Study**,"A laboratory and conference for students desiring to pursue some particular line of investigation. May be repeated for
credit.
Core Curriculum/Core Requirements:
Prerequisites: permission.
Course Typically Offered: Fall & Spring
Credits: Ar
Biology",permission.,Fall & Spring,N/A
BIO 101,**Explorations in Biology**,"This course is designed for beginning Biology majors (but is appropriate for all students), and attempts to introduce
students to some of the content areas within the discipline of Biology through investigations focused on a particular
Maine organism. This course will also serve as a “First-Year Experience.” Students will work closely with faculty on a
research project, learning concepts and protocols in biology and at the same time developing academic skills that will
contribute to their continued success at UMM.
Course Typically Offered: Every Fall
Credits: 1-2",None,Every Fall,1-2
